Aug. 15, 2022   18:12:59
Cyclic Voltammetry
File: c:\iviumstat\datafolder\hj\rde\cv scans-1800 rpm o2-(-0.7v to -0.1v agagcl 0.1 m naoh).csv
Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = -0.1
High E (V) = -0.1
Low E (V) = -0.7
Init P/N = N
Scan Rate (V/s) = 0.02
Segment = 2
Sample Interval (V) = 0.005
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-4

Segment 1:

Segment 2:

Potential/V, Current/A

-0.100, 1.708e-7
-0.105, 1.813e-8
-0.110, -6.159e-8
-0.115, -1.291e-7
-0.120, -1.949e-7
-0.125, -2.596e-7
-0.130, -3.261e-7
-0.135, -3.990e-7
-0.140, -4.808e-7
-0.145, -5.736e-7
-0.150, -6.823e-7
-0.155, -8.160e-7
-0.160, -9.757e-7
-0.165, -1.170e-6
-0.170, -1.405e-6
-0.175, -1.696e-6
-0.180, -2.050e-6
-0.185, -2.484e-6
-0.190, -3.012e-6
-0.195, -3.655e-6
-0.200, -4.430e-6
-0.205, -5.366e-6
-0.210, -6.484e-6
-0.215, -7.826e-6
-0.220, -9.414e-6
-0.225, -1.128e-5
-0.230, -1.347e-5
-0.235, -1.604e-5
-0.240, -1.903e-5
-0.245, -2.247e-5
-0.250, -2.641e-5
-0.255, -3.090e-5
-0.260, -3.597e-5
-0.265, -4.165e-5
-0.270, -4.795e-5
-0.275, -5.494e-5
-0.280, -6.259e-5
-0.285, -7.085e-5
-0.290, -7.981e-5
-0.295, -8.926e-5
-0.300, -9.915e-5
-0.305, -1.096e-4
-0.310, -1.206e-4
-0.315, -1.318e-4
-0.320, -1.431e-4
-0.325, -1.549e-4
-0.330, -1.664e-4
-0.335, -1.779e-4
-0.340, -1.897e-4
-0.345, -2.009e-4
-0.350, -2.124e-4
-0.355, -2.233e-4
-0.360, -2.333e-4
-0.365, -2.432e-4
-0.370, -2.522e-4
-0.375, -2.607e-4
-0.380, -2.693e-4
-0.385, -2.781e-4
-0.390, -2.857e-4
-0.395, -2.917e-4
-0.400, -2.986e-4
-0.405, -3.046e-4
-0.410, -3.074e-4
-0.415, -3.121e-4
-0.420, -3.176e-4
-0.425, -3.225e-4
-0.430, -3.262e-4
-0.435, -3.297e-4
-0.440, -3.336e-4
-0.445, -3.326e-4
-0.450, -3.350e-4
-0.455, -3.386e-4
-0.460, -3.404e-4
-0.465, -3.406e-4
-0.470, -3.400e-4
-0.475, -3.426e-4
-0.480, -3.433e-4
-0.485, -3.437e-4
-0.490, -3.419e-4
-0.495, -3.440e-4
-0.500, -3.446e-4
-0.505, -3.462e-4
-0.510, -3.438e-4
-0.515, -3.417e-4
-0.520, -3.403e-4
-0.525, -3.408e-4
-0.530, -3.406e-4
-0.535, -3.379e-4
-0.540, -3.347e-4
-0.545, -3.359e-4
-0.550, -3.326e-4
-0.555, -3.287e-4
-0.560, -3.291e-4
-0.565, -3.292e-4
-0.570, -3.267e-4
-0.575, -3.236e-4
-0.580, -3.233e-4
-0.585, -3.208e-4
-0.590, -3.200e-4
-0.595, -3.181e-4
-0.600, -3.160e-4
-0.605, -3.142e-4
-0.610, -3.163e-4
-0.615, -3.122e-4
-0.620, -3.131e-4
-0.625, -3.116e-4
-0.630, -3.120e-4
-0.635, -3.132e-4
-0.640, -3.147e-4
-0.645, -3.156e-4
-0.650, -3.162e-4
-0.655, -3.181e-4
-0.660, -3.190e-4
-0.665, -3.183e-4
-0.670, -3.202e-4
-0.675, -3.228e-4
-0.680, -3.268e-4
-0.685, -3.277e-4
-0.690, -3.316e-4
-0.695, -3.324e-4
-0.700, -3.318e-4
-0.695, -3.263e-4
-0.690, -3.256e-4
-0.685, -3.218e-4
-0.680, -3.195e-4
-0.675, -3.168e-4
-0.670, -3.131e-4
-0.665, -3.100e-4
-0.660, -3.097e-4
-0.655, -3.082e-4
-0.650, -3.067e-4
-0.645, -3.049e-4
-0.640, -3.034e-4
-0.635, -3.036e-4
-0.630, -3.050e-4
-0.625, -3.046e-4
-0.620, -3.040e-4
-0.615, -3.027e-4
-0.610, -3.041e-4
-0.605, -3.039e-4
-0.600, -3.077e-4
-0.595, -3.104e-4
-0.590, -3.111e-4
-0.585, -3.111e-4
-0.580, -3.145e-4
-0.575, -3.156e-4
-0.570, -3.191e-4
-0.565, -3.195e-4
-0.560, -3.222e-4
-0.555, -3.227e-4
-0.550, -3.271e-4
-0.545, -3.276e-4
-0.540, -3.274e-4
-0.535, -3.294e-4
-0.530, -3.307e-4
-0.525, -3.309e-4
-0.520, -3.324e-4
-0.515, -3.324e-4
-0.510, -3.333e-4
-0.505, -3.340e-4
-0.500, -3.358e-4
-0.495, -3.346e-4
-0.490, -3.347e-4
-0.485, -3.320e-4
-0.480, -3.310e-4
-0.475, -3.304e-4
-0.470, -3.303e-4
-0.465, -3.274e-4
-0.460, -3.267e-4
-0.455, -3.252e-4
-0.450, -3.236e-4
-0.445, -3.204e-4
-0.440, -3.187e-4
-0.435, -3.141e-4
-0.430, -3.108e-4
-0.425, -3.067e-4
-0.420, -3.031e-4
-0.415, -2.989e-4
-0.410, -2.924e-4
-0.405, -2.861e-4
-0.400, -2.800e-4
-0.395, -2.734e-4
-0.390, -2.672e-4
-0.385, -2.597e-4
-0.380, -2.508e-4
-0.375, -2.432e-4
-0.370, -2.336e-4
-0.365, -2.239e-4
-0.360, -2.138e-4
-0.355, -2.037e-4
-0.350, -1.932e-4
-0.345, -1.823e-4
-0.340, -1.711e-4
-0.335, -1.607e-4
-0.330, -1.492e-4
-0.325, -1.377e-4
-0.320, -1.266e-4
-0.315, -1.164e-4
-0.310, -1.058e-4
-0.305, -9.565e-5
-0.300, -8.601e-5
-0.295, -7.664e-5
-0.290, -6.807e-5
-0.285, -6.011e-5
-0.280, -5.266e-5
-0.275, -4.581e-5
-0.270, -3.958e-5
-0.265, -3.400e-5
-0.260, -2.896e-5
-0.255, -2.451e-5
-0.250, -2.058e-5
-0.245, -1.714e-5
-0.240, -1.415e-5
-0.235, -1.159e-5
-0.230, -9.389e-6
-0.225, -7.498e-6
-0.220, -5.892e-6
-0.215, -4.539e-6
-0.210, -3.405e-6
-0.205, -2.454e-6
-0.200, -1.671e-6
-0.195, -1.023e-6
-0.190, -4.891e-7
-0.185, -5.353e-8
-0.180, 3.041e-7
-0.175, 5.954e-7
-0.170, 8.288e-7
-0.165, 1.018e-6
-0.160, 1.168e-6
-0.155, 1.289e-6
-0.150, 1.387e-6
-0.145, 1.464e-6
-0.140, 1.526e-6
-0.135, 1.576e-6
-0.130, 1.616e-6
-0.125, 1.648e-6
-0.120, 1.675e-6
-0.115, 1.696e-6
-0.110, 1.714e-6
-0.105, 1.730e-6
